entry_dt,exit_dt,side,entry_px,exit_px,pnl,bars,entry_adx,entry_atr,regime,exit_reason
2024-12-24 22:10:00,2024-12-24 22:30:00,LONG,98756.88068135093,98452.22245964828,-2.6610663274813087,4.0,29.75509311245516,221.39941448093114,1,SL
2024-12-24 22:30:00,2024-12-24 22:35:00,SHORT,98452.22245964828,98452.22245964828,-27.246764125506417,,29.95714980879892,219.98659916086535,1,EXIT_SHORT
2024-12-25 10:10:00,2024-12-25 10:15:00,LONG,98526.29777738343,98859.5589647209,0.7188835937236813,1.0,31.052904370931213,135.08084369969262,1,TP
2024-12-25 10:15:00,2024-12-25 10:20:00,SHORT,98859.5589647209,98859.5589647209,-29.181061962236562,,34.58096835953262,150.38292629257157,1,EXIT_SHORT
2024-12-25 10:50:00,2024-12-25 10:55:00,SHORT,98359.6671837147,98359.6671837147,-3.9161167087066566,,33.10100357252993,216.16716953957962,1,EXIT_SHORT
2024-12-25 20:25:00,2024-12-25 20:30:00,SHORT,99366.19712475622,99366.19712475622,-14.432780860958987,,23.97586909748701,150.34180083895103,2,EXIT_SHORT
2024-12-26 00:05:00,2024-12-26 06:05:00,SHORT,99932.76475540372,99932.76475540372,113.04785124711367,,36.54281758267051,141.38498952125508,2,EXIT_SHORT
2024-12-27 14:05:00,2024-12-27 14:25:00,SHORT,96171.22634813815,96447.82039017664,-2.556511574636549,4.0,22.80376746186737,191.6218504383776,2,SL
2024-12-27 14:25:00,2024-12-27 14:30:00,LONG,96447.82039017664,96447.82039017664,-23.661147226256418,,24.467457476924213,213.06528969277934,2,EXIT
2024-12-31 13:10:00,2024-12-31 13:25:00,LONG,95010.11428556306,95496.11438440382,1.6353406427260677,3.0,39.76601140179297,206.89921005261635,1,TP
2024-12-31 13:25:00,2024-12-31 13:30:00,SHORT,95496.11438440382,95496.11438440382,-35.83809787052777,,42.08805308697509,210.64998076314401,1,EXIT_SHORT
